[INFO][2017-04-15 09:33:34] Training Start!
[INFO][2017-04-15 09:38:53] batch_iter 1 | num_iter 64 | loss: 2.47326, ss: 0 | accuracy 0.33, ss: 0 | time_cost(s): 319.105
[INFO][2017-04-15 09:43:26] batch_iter 2 | num_iter 128 | loss: 2.84925, ss: 1 | accuracy 0.23, ss: 1 | time_cost(s): 272.288
[INFO][2017-04-15 09:47:48] batch_iter 3 | num_iter 192 | loss: 3.05995, ss: 2 | accuracy 0.17, ss: 2 | time_cost(s): 262.154
[INFO][2017-04-15 09:52:14] batch_iter 4 | num_iter 256 | loss: 3.07903, ss: 3 | accuracy 0.18, ss: 3 | time_cost(s): 265.274
[INFO][2017-04-15 09:56:39] batch_iter 5 | num_iter 320 | loss: 2.50818, ss: 4 | accuracy 0.35, ss: 0 | time_cost(s): 264.864
[INFO][2017-04-15 10:01:01] batch_iter 6 | num_iter 384 | loss: 2.61088, ss: 5 | accuracy 0.3, ss: 1 | time_cost(s): 262.441
[INFO][2017-04-15 10:05:28] batch_iter 7 | num_iter 448 | loss: 2.8184, ss: 6 | accuracy 0.38, ss: 0 | time_cost(s): 266.178
[INFO][2017-04-15 10:09:52] batch_iter 8 | num_iter 512 | loss: 2.86101, ss: 7 | accuracy 0.25, ss: 1 | time_cost(s): 263.565
[INFO][2017-04-15 10:14:11] batch_iter 9 | num_iter 576 | loss: 2.27907, ss: 0 | accuracy 0.41, ss: 0 | time_cost(s): 258.140
[INFO][2017-04-15 10:18:32] batch_iter 10 | num_iter 640 | loss: 2.35466, ss: 1 | accuracy 0.38, ss: 1 | time_cost(s): 260.554
[INFO][2017-04-15 10:22:52] batch_iter 11 | num_iter 704 | loss: 2.5963, ss: 2 | accuracy 0.39, ss: 2 | time_cost(s): 259.489
[INFO][2017-04-15 10:27:11] batch_iter 12 | num_iter 768 | loss: 2.767, ss: 3 | accuracy 0.26, ss: 3 | time_cost(s): 259.080
[INFO][2017-04-15 10:31:33] batch_iter 13 | num_iter 832 | loss: 2.34733, ss: 4 | accuracy 0.35, ss: 4 | time_cost(s): 261.390
[INFO][2017-04-15 10:35:53] batch_iter 14 | num_iter 896 | loss: 2.65065, ss: 5 | accuracy 0.14, ss: 5 | time_cost(s): 259.713
[INFO][2017-04-15 10:40:14] batch_iter 15 | num_iter 960 | loss: 2.07717, ss: 0 | accuracy 0.51, ss: 0 | time_cost(s): 260.395
[INFO][2017-04-15 10:44:33] batch_iter 16 | num_iter 1024 | loss: 2.50984, ss: 1 | accuracy 0.38, ss: 1 | time_cost(s): 258.301
[INFO][2017-04-15 10:48:49] batch_iter 17 | num_iter 1088 | loss: 2.27348, ss: 2 | accuracy 0.35, ss: 2 | time_cost(s): 255.901
[INFO][2017-04-15 10:53:06] batch_iter 18 | num_iter 1152 | loss: 1.96989, ss: 0 | accuracy 0.46, ss: 3 | time_cost(s): 256.769
[INFO][2017-04-15 10:57:23] batch_iter 19 | num_iter 1216 | loss: 1.84377, ss: 0 | accuracy 0.5, ss: 4 | time_cost(s): 256.159
[INFO][2017-04-15 11:01:42] batch_iter 20 | num_iter 1280 | loss: 1.43674, ss: 0 | accuracy 0.54, ss: 0 | time_cost(s): 258.884
[INFO][2017-04-15 11:06:00] batch_iter 21 | num_iter 1344 | loss: 1.50218, ss: 1 | accuracy 0.65, ss: 0 | time_cost(s): 257.688
[INFO][2017-04-15 11:10:18] batch_iter 22 | num_iter 1408 | loss: 1.57012, ss: 2 | accuracy 0.54, ss: 1 | time_cost(s): 257.663
[INFO][2017-04-15 11:14:34] batch_iter 23 | num_iter 1472 | loss: 1.42577, ss: 0 | accuracy 0.63, ss: 2 | time_cost(s): 255.351
[INFO][2017-04-15 11:18:48] batch_iter 24 | num_iter 1536 | loss: 1.50573, ss: 1 | accuracy 0.46, ss: 3 | time_cost(s): 254.190
[INFO][2017-04-15 11:23:05] batch_iter 25 | num_iter 1600 | loss: 1.71995, ss: 2 | accuracy 0.5, ss: 4 | time_cost(s): 257.029
[INFO][2017-04-15 11:27:24] batch_iter 26 | num_iter 1664 | loss: 1.65557, ss: 3 | accuracy 0.47, ss: 5 | time_cost(s): 257.661
[INFO][2017-04-15 11:31:42] batch_iter 27 | num_iter 1728 | loss: 1.92695, ss: 4 | accuracy 0.47, ss: 6 | time_cost(s): 257.757
[INFO][2017-04-15 11:35:59] batch_iter 28 | num_iter 1792 | loss: 1.59413, ss: 5 | accuracy 0.51, ss: 7 | time_cost(s): 256.967
[INFO][2017-04-15 11:40:20] batch_iter 29 | num_iter 1856 | loss: 1.63404, ss: 6 | accuracy 0.57, ss: 8 | time_cost(s): 260.069
[INFO][2017-04-15 11:44:39] batch_iter 30 | num_iter 1920 | loss: 1.91436, ss: 7 | accuracy 0.42, ss: 9 | time_cost(s): 258.695
[INFO][2017-04-15 11:48:56] batch_iter 31 | num_iter 1984 | loss: 1.52949, ss: 8 | accuracy 0.53, ss: 10 | time_cost(s): 256.656
[INFO][2017-04-15 11:53:15] batch_iter 32 | num_iter 2048 | loss: 0.840275, ss: 0 | accuracy 0.78, ss: 0 | time_cost(s): 258.249
[INFO][2017-04-15 11:57:41] batch_iter 33 | num_iter 2112 | loss: 0.979201, ss: 1 | accuracy 0.74, ss: 1 | time_cost(s): 265.666
[INFO][2017-04-15 12:02:01] batch_iter 34 | num_iter 2176 | loss: 1.19613, ss: 2 | accuracy 0.67, ss: 2 | time_cost(s): 260.067
[INFO][2017-04-15 12:06:29] batch_iter 35 | num_iter 2240 | loss: 1.08935, ss: 3 | accuracy 0.67, ss: 3 | time_cost(s): 267.302
[INFO][2017-04-15 12:10:50] batch_iter 36 | num_iter 2304 | loss: 1.57458, ss: 4 | accuracy 0.51, ss: 4 | time_cost(s): 260.443
[INFO][2017-04-15 12:15:09] batch_iter 37 | num_iter 2368 | loss: 1.59469, ss: 5 | accuracy 0.48, ss: 5 | time_cost(s): 258.491
[INFO][2017-04-15 12:19:31] batch_iter 38 | num_iter 2432 | loss: 1.73314, ss: 6 | accuracy 0.55, ss: 6 | time_cost(s): 261.604
[INFO][2017-04-15 12:23:51] batch_iter 39 | num_iter 2496 | loss: 1.03215, ss: 7 | accuracy 0.71, ss: 7 | time_cost(s): 260.093
[INFO][2017-04-15 12:28:12] batch_iter 40 | num_iter 2560 | loss: 1.88458, ss: 8 | accuracy 0.39, ss: 8 | time_cost(s): 260.263
[INFO][2017-04-15 12:32:31] batch_iter 41 | num_iter 2624 | loss: 1.49822, ss: 9 | accuracy 0.52, ss: 9 | time_cost(s): 258.310
[INFO][2017-04-15 12:36:48] batch_iter 42 | num_iter 2688 | loss: 1.01248, ss: 10 | accuracy 0.72, ss: 10 | time_cost(s): 257.430
[INFO][2017-04-15 12:41:11] batch_iter 43 | num_iter 2752 | loss: 1.2129, ss: 11 | accuracy 0.6, ss: 11 | time_cost(s): 262.795
[INFO][2017-04-15 12:45:31] batch_iter 44 | num_iter 2816 | loss: 1.75477, ss: 12 | accuracy 0.48, ss: 12 | time_cost(s): 258.943
[INFO][2017-04-15 12:49:52] batch_iter 45 | num_iter 2880 | loss: 1.28038, ss: 13 | accuracy 0.68, ss: 13 | time_cost(s): 261.051
[INFO][2017-04-15 12:54:13] batch_iter 46 | num_iter 2944 | loss: 1.1545, ss: 14 | accuracy 0.63, ss: 14 | time_cost(s): 260.093
[INFO][2017-04-15 12:58:38] batch_iter 47 | num_iter 3008 | loss: 0.982471, ss: 15 | accuracy 0.63, ss: 15 | time_cost(s): 264.583
[INFO][2017-04-15 13:02:59] batch_iter 48 | num_iter 3072 | loss: 1.43644, ss: 16 | accuracy 0.72, ss: 16 | time_cost(s): 261.121
[INFO][2017-04-15 13:07:20] batch_iter 49 | num_iter 3136 | loss: 0.982794, ss: 17 | accuracy 0.71, ss: 17 | time_cost(s): 260.336
